5f35e51d4c197 ; 14.08.2020 06:13:02 ; ss ; Lpu_id: 10010833, memory: 7.4872360229492 MB
5f35e51d4c197 ; 14.08.2020 06:13:03 ; ss ; loadLpuFilialList, memory: 7.6761169433594 MB
5f35e51d4c197 ; 14.08.2020 06:13:04 ; ss ; loadLpuBuildingList, memory: 7.8738250732422 MB
5f35e51d4c197 ; 14.08.2020 06:13:05 ; ss ; loadLpuUnitList, memory: 8.4602203369141 MB
5f35e51d4c197 ; 14.08.2020 06:13:07 ; ss ; loadLpuSectionList, memory: 13.419044494629 MB
5f35e51d4c197 ; 14.08.2020 06:13:08 ; ss ; loadLpuSectionWardList, memory: 13.620346069336 MB
5f35e51d4c197 ; 14.08.2020 06:13:28 ; ss ; loadMedStaffFactList, memory: 30.290451049805 MB
5f35e51d4c197 ; 14.08.2020 06:13:29 ; ss ; loadMedServiceList, memory: 32.000556945801 MB
5f35e51d4c197 ; 14.08.2020 06:13:29 ; ss ; loadFederalKladrList, memory: 32.004539489746 MB
5f35e51d4c197 ; 14.08.2020 06:13:29 ; ss ; loadResultDeseaseLeaveTypeList, memory: 32.132919311523 MB
5f35e51d4c197 ; 14.08.2020 06:13:30 ; ss ; loadTreatmentClassServiceTypeList, memory: 32.208343505859 MB
5f35e51d4c197 ; 14.08.2020 06:13:30 ; ss ; loadTreatmentClassVizitTypeList, memory: 32.584449768066 MB
5f35e51d4c197 ; 14.08.2020 06:13:30 ; ss ; loadMedicalCareKindLpuSectionProfileList, memory: 33.419052124023 MB
5f35e5b139a84 ; 14.08.2020 06:15:29 ; ss ; Lpu_id: 10010833, memory: 7.5106964111328 MB
5f35e5b139a84 ; 14.08.2020 06:15:30 ; ss ; loadLpuFilialList, memory: 7.6522445678711 MB
5f35e5b139a84 ; 14.08.2020 06:15:30 ; ss ; loadLpuBuildingList, memory: 7.9332656860352 MB
5f35e5b139a84 ; 14.08.2020 06:15:31 ; ss ; loadLpuUnitList, memory: 8.527473449707 MB
5f35e5b139a84 ; 14.08.2020 06:15:33 ; ss ; loadLpuSectionList, memory: 13.53466796875 MB
5f35e5b139a84 ; 14.08.2020 06:15:34 ; ss ; loadLpuSectionWardList, memory: 13.735969543457 MB
5f35e5b139a84 ; 14.08.2020 06:15:37 ; ss ; loadMedStaffFactList, memory: 30.667213439941 MB
5f35e5b139a84 ; 14.08.2020 06:15:38 ; ss ; loadMedServiceList, memory: 32.377319335938 MB
5f35e5b139a84 ; 14.08.2020 06:15:38 ; ss ; loadFederalKladrList, memory: 32.381301879883 MB
5f35e5b139a84 ; 14.08.2020 06:15:39 ; ss ; loadResultDeseaseLeaveTypeList, memory: 32.50968170166 MB
5f35e5b139a84 ; 14.08.2020 06:15:39 ; ss ; loadTreatmentClassServiceTypeList, memory: 32.585105895996 MB
5f35e5b139a84 ; 14.08.2020 06:15:39 ; ss ; loadTreatmentClassVizitTypeList, memory: 32.961212158203 MB
5f35e5b139a84 ; 14.08.2020 06:15:40 ; ss ; loadMedicalCareKindLpuSectionProfileList, memory: 33.79581451416 MB
5f364c3865977 ; 14.08.2020 13:32:57 ; ss ; Lpu_id: 100, memory: 7.0814208984375 MB
5f364c3865977 ; 14.08.2020 13:32:57 ; ss ; loadLpuFilialList, memory: 7.266227722168 MB
5f364c3865977 ; 14.08.2020 13:32:58 ; ss ; loadLpuBuildingList, memory: 7.2706604003906 MB
5f364c3865977 ; 14.08.2020 13:32:59 ; ss ; loadLpuUnitList, memory: 7.288444519043 MB
5f364c3865977 ; 14.08.2020 13:33:01 ; ss ; loadLpuSectionList, memory: 10.676895141602 MB
5f364c3865977 ; 14.08.2020 13:33:01 ; ss ; loadLpuSectionWardList, memory: 10.681350708008 MB
5f364c3865977 ; 14.08.2020 13:33:03 ; ss ; loadMedStaffFactList, memory: 10.756622314453 MB
5f364c3865977 ; 14.08.2020 13:33:03 ; ss ; loadMedServiceList, memory: 10.790672302246 MB
5f364c3865977 ; 14.08.2020 13:33:04 ; ss ; loadFederalKladrList, memory: 10.794654846191 MB
5f364c3865977 ; 14.08.2020 13:33:04 ; ss ; loadResultDeseaseLeaveTypeList, memory: 10.923034667969 MB
5f364c3865977 ; 14.08.2020 13:33:04 ; ss ; loadTreatmentClassServiceTypeList, memory: 10.998458862305 MB
5f364c3865977 ; 14.08.2020 13:33:05 ; ss ; loadTreatmentClassVizitTypeList, memory: 11.374565124512 MB
5f364c3865977 ; 14.08.2020 13:33:05 ; ss ; loadMedicalCareKindLpuSectionProfileList, memory: 12.209167480469 MB
5f364c8d50ce0 ; 14.08.2020 13:34:21 ; ss ; Lpu_id: 10010833, memory: 7.4896697998047 MB
5f364c8d50ce0 ; 14.08.2020 13:34:22 ; ss ; loadLpuFilialList, memory: 7.631217956543 MB
5f364c8d50ce0 ; 14.08.2020 13:34:22 ; ss ; loadLpuBuildingList, memory: 7.912239074707 MB
5f364c8d50ce0 ; 14.08.2020 13:34:23 ; ss ; loadLpuUnitList, memory: 8.5064468383789 MB
5f364c8d50ce0 ; 14.08.2020 13:34:26 ; ss ; loadLpuSectionList, memory: 13.513641357422 MB
